workunit,workunit_id,project,project_id,collect_start,collect_end,ql,spec,p_method,dem_gsd_meters,horiz_crs,vert_crs,geoid,lpc_pub_date,lpc_update,lpc_category,lpc_reason,sourcedem_pub_date,sourcedem_update,sourcedem_category,sourcedem_reason,onemeter_category,onemeter_reason,seamless_category,seamless_reason,lpc_link,sourcedem_link,metadata_link
WA_PSLC_2000,-1694,WA_PSLC_2000_Legacy_Data,-16940,2000/12/01,2001/01/30,Other,Other,linear-mode lidar,3,"2285","6360",GEOID99,2013/04/22,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/WA_PSLC_2000,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/WA_PSLC_2000
NC_PHASE1B_2001,-1472,NC_PHASE1B_2001_Legacy_Data,-14720,2001/01/03,2001/03/23,Other,Other,linear-mode lidar,3,"3358","5703",Unknown,2013/01/22,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/NC_PHASE1B_2001,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/NC_PHASE1B_2001
NC_PHASE1A_2001,-1471,NC_PHASE1A_2001_Legacy_Data,-14710,2001/01/03,2001/03/23,Other,Other,linear-mode lidar,3,"2264","6360",Unknown,2013/01/23,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/NC_PHASE1A_2001,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/NC_PHASE1A_2001
WA_PSLC_2001,-1695,WA_PSLC_2001_Legacy_Data,-16950,2001/01/09,2002/03/23,Other,Other,linear-mode lidar,3,"2285","6360",GEOID99,2013/04/22,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/WA_PSLC_2001,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/WA_PSLC_2001
WA_PSLC_2002,-1696,WA_PSLC_2002_Legacy_Data,-16960,2002/01/01,2002/03/31,Other,Other,linear-mode lidar,3,"2926","6360",GEOID99,2013/02/15,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/WA_PSLC_2002,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/WA_PSLC_2002
LA_STATEWIDE_2002,-1392,LA_STATEWIDE_2002_Legacy_Data,-13920,2002/02/01,2002/02/01,Other,Other,linear-mode lidar,3,"26915","6360",Unknown,2012/06/11,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/LA_STATEWIDE_2002,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/LA_STATEWIDE_2002
FL_LEONCO_2002,-1209,FL_LEONCO_2002_Legacy_Data,-12090,2002/02/01,2002/02/01,Other,Other,linear-mode lidar,3,"2883","6360",Unknown,2014/06/17,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/FL_LEONCO_2002,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/FL_LEONCO_2002
ND_CASSCO_2002,-1476,ND_CASSCO_2002_Legacy_Data,-14760,2002/05/14,2002/05/14,Other,Other,linear-mode lidar,3,"2266","6360",Unknown,2014/07/25,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/ND_CASSCO_2002,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/ND_CASSCO_2002
CA_SCRIPPS_MAY_2002,-1169,CA_SCRIPPS_MAY_2002_Legacy_Data,-11690,2002/05/22,2002/05/22,Other,Other,linear-mode lidar,,"26911","5703",GEOID99,2012/05/11,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/CA_SCRIPPS_MAY_2002,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/CA_SCRIPPS-MAY_2002
MD_STATEWIDE_2002,-1403,MD_STATEWIDE_2002_Legacy_Data,-14030,2002/08/01,2002/08/01,Other,Other,linear-mode lidar,3,"26985","5703",Unknown,2012/06/14,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/MD_STATEWIDE_2002,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/MD_STATEWIDE_2002
ID_SHEEPSTATION_2002,-1283,ID_SHEEPSTATION_2002_Legacy_Data,-12830,2002/09/01,2002/09/01,Other,Other,linear-mode lidar,3,"26712","6360",Unknown,2014/06/27,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/ID_SHEEPSTATION_2002,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/ID_SHEEPSTATION_2002
ID_SALMONFALLS_2002,-1282,ID_SALMONFALLS_2002_Legacy_Data,-12820,2002/09/01,2002/09/01,Other,Other,linear-mode lidar,3,"26711",Unknown,Unknown,2013/01/22,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/ID_SALMONFALLS_2002,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/ID_SALMONFALLS_2002
ID_SWANVALLEY_2002,-1287,ID_SWANVALLEY_2002_Legacy_Data,-12870,2002/09/01,2002/09/01,Other,Other,linear-mode lidar,3,"26712",Unknown,Unknown,2013/01/22,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/ID_SWANVALLEY_2002,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/ID_SWANVALLEY_2002
ID_BIRCHCREEK_2002,-1265,ID_BIRCHCREEK_2002_Legacy_Data,-12650,2002/09/01,2002/09/01,Other,Other,linear-mode lidar,3,"26712",Unknown,Unknown,2013/01/22,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/ID_BIRCHCREEK_2002,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/ID_BIRCHCREEK_2002
CA_SCRIPPS_SEP_2002,-1172,CA_SCRIPPS_SEP_2002_Legacy_Data,-11720,2002/09/09,2002/09/09,Other,Other,linear-mode lidar,,"26911","5703",GEOID99,2012/05/14,,Does not meet,LPC predates v.1.0 or draft LBS,,,Does not meet,LPC does not meet,Does not meet,LPC does not meet,Does not meet,LPC does not meet,https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/legacy/CA_SCRIPPS_SEP_2002,,http://prd-tnm.s3.amazonaws.com/index.html?prefix=StagedProducts/Elevation/metadata/legacy/CA_SCRIPPS-SEP_2002
